epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.7553,0.96829,3.84251,1.29162,0.5814,0.67226,0.61019,0.48038,0.62891,3.2169,1.07571,8.574e-05,8.574e-05,8.574e-05
2,10.3912,0.76721,1.89657,1.18091,0.68207,0.71825,0.72982,0.60627,0.67625,3.4805,1.0972,0.000185157,0.000185157,0.000185157
3,14.9443,0.73348,1.11753,1.09674,0.84299,0.85004,0.8479,0.67055,0.80395,3.65407,1.17315,0.000283914,0.000283914,0.000283914
4,19.2411,0.69322,0.99382,1.09176,0.84423,0.92236,0.94353,0.76695,0.74072,2.42335,1.13461,0.00038201,0.00038201,0.00038201
5,23.6077,0.66892,0.8953,1.09761,0.75305,0.93155,0.95714,0.73621,0.75945,2.27221,1.23822,0.000479447,0.000479447,0.000479447
6,27.7886,0.71322,0.80332,1.08635,0.76474,0.88934,0.94716,0.71238,0.79336,2.79715,1.23908,0.000576223,0.000576223,0.000576223
7,31.9933,0.66721,0.77743,1.05063,0.22354,0.5407,0.33034,0.23766,1.10809,18.4919,1.66896,0.000672339,0.000672339,0.000672339
8,36.7504,0.76059,0.86667,1.08754,0.08119,0.30853,0.03569,0.02478,1.51288,inf,2.63017,0.000767795,0.000767795,0.000767795
9,41.2502,0.71725,0.85042,1.12405,0.33278,0.86806,0.66267,0.46781,0.83462,14.4742,1.58397,0.00086259,0.00086259,0.00086259
10,45.3654,0.69918,0.72781,1.10247,0.08399,0.32421,0.09103,0.06439,1.04222,27.1107,1.70825,0.000956726,0.000956726,0.000956726
11,49.651,0.66986,0.65739,1.04716,0.08253,0.52937,0.10097,0.06381,1.13926,15.4128,1.77494,0.0010502,0.0010502,0.0010502
12,53.8714,0.67616,0.69896,1.09052,0.52866,0.54206,0.46908,0.34423,1.02136,6.31206,1.55801,0.00114302,0.00114302,0.00114302
13,58.2534,0.72428,0.79741,1.10959,0.53374,0.61633,0.54157,0.41113,1.0179,4.13061,1.60205,0.00123517,0.00123517,0.00123517
14,62.4514,0.72852,0.75323,1.13396,0.42458,0.61786,0.3481,0.27851,1.02115,13.9802,1.55177,0.00132667,0.00132667,0.00132667
15,66.8044,0.74735,0.73039,1.13354,0.41142,0.74072,0.47222,0.34973,0.84262,7.39822,1.30553,0.00136298,0.00136298,0.00136298
