epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.4975,1.10355,4.03101,1.39817,0.77457,0.31667,0.3349,0.21552,0.89802,2.96682,1.26276,8.574e-05,8.574e-05,8.574e-05
2,8.88041,0.94603,2.19476,1.36448,0.58212,0.74643,0.68434,0.55162,0.73298,2.17373,1.18287,0.000183931,0.000183931,0.000183931
3,11.1282,0.80228,1.21894,1.15408,0.81953,0.81746,0.87738,0.69222,0.72884,1.3508,1.10692,0.000280141,0.000280141,0.000280141
4,13.4807,0.75549,0.94371,1.09789,0.86111,0.93155,0.94477,0.77081,0.62285,1.08703,1.00559,0.000374371,0.000374371,0.000374371
5,15.539,0.68537,0.88554,1.08854,0.70996,0.84025,0.82264,0.60759,0.8278,1.7363,1.20946,0.00046662,0.00046662,0.00046662
6,17.5277,0.76443,0.78317,1.06687,0.87562,0.9054,0.94503,0.76357,0.68293,0.89014,1.05776,0.000556888,0.000556888,0.000556888
7,19.5168,0.65067,0.77653,1.009,0.91113,0.91409,0.96298,0.78038,0.73189,1.42379,1.13982,0.000645176,0.000645176,0.000645176
8,21.687,0.73888,0.78958,1.04802,0.80984,0.9442,0.89479,0.66205,0.82287,1.55435,1.12343,0.000731484,0.000731484,0.000731484
9,23.8946,0.66462,0.73011,1.06201,0.88123,0.92734,0.98054,0.75549,0.75891,0.98098,1.10225,0.00081581,0.00081581,0.00081581
10,26.0764,0.66013,0.63949,1.02125,0.92514,0.93293,0.95521,0.77565,0.73687,0.83004,1.05166,0.000898157,0.000898157,0.000898157
11,28.0032,0.63665,0.60787,0.99146,0.79756,0.7965,0.86574,0.67287,0.78495,0.99383,1.15026,0.000978522,0.000978522,0.000978522
12,29.9594,0.67253,0.60624,1.03965,0.9625,0.75655,0.90927,0.73854,0.7636,0.87334,1.11802,0.00105691,0.00105691,0.00105691
13,31.8848,0.66139,0.59502,1.00641,0.88542,0.83492,0.90312,0.72991,0.7514,0.83022,1.10243,0.00113331,0.00113331,0.00113331
14,33.8096,0.65843,0.58347,1.02379,0.93221,0.9071,0.94634,0.70046,0.87523,0.7487,1.20284,0.00120774,0.00120774,0.00120774
15,35.7664,0.66923,0.57851,1.00186,0.94533,0.84913,0.93937,0.7302,0.81622,0.71439,1.16625,0.00123094,0.00123094,0.00123094
16,37.9211,0.66945,0.62423,1.02217,0.88372,0.88362,0.92703,0.74856,0.76201,0.7339,1.08371,0.00121679,0.00121679,0.00121679
17,39.8208,0.68899,0.62201,1.04946,0.92523,1,0.98545,0.76604,0.76228,0.63392,1.12082,0.00120265,0.00120265,0.00120265
18,41.7704,0.62516,0.55963,0.98656,0.919,1,0.98356,0.76127,0.8008,0.6734,1.11357,0.0011885,0.0011885,0.0011885
19,43.7386,0.65646,0.57619,1.02996,0.78413,0.86338,0.90954,0.75097,0.70335,0.90205,1.04289,0.00117435,0.00117435,0.00117435
20,45.6791,0.67197,0.5658,1.00414,0.96111,0.84957,0.96168,0.75765,0.78134,0.77473,1.14815,0.00116021,0.00116021,0.00116021
21,47.6923,0.66306,0.54241,1.04198,0.92579,0.97234,0.98341,0.77985,0.72478,0.6811,1.08459,0.00114606,0.00114606,0.00114606
22,49.6358,0.62195,0.51939,0.96557,0.91301,0.95702,0.98246,0.79604,0.71542,0.74521,1.08111,0.00113191,0.00113191,0.00113191
23,51.6617,0.59377,0.52487,0.98771,0.92377,0.87129,0.9116,0.70508,0.78362,1.07149,1.12624,0.00111776,0.00111776,0.00111776
24,53.598,0.59599,0.49545,0.98562,0.8537,0.91409,0.91194,0.73917,0.73481,1.02131,1.03486,0.00110362,0.00110362,0.00110362
25,55.6665,0.6099,0.5271,1.02799,0.81813,0.91479,0.92737,0.73618,0.7418,1.25589,1.02791,0.00108947,0.00108947,0.00108947
26,57.8044,0.65469,0.54875,1.03085,0.9334,0.93155,0.94443,0.77529,0.6853,0.96406,1.00819,0.00107532,0.00107532,0.00107532
