epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,89.6075,0.51533,0.41466,0.93609,0.93876,0.98338,0.98866,0.83984,0.59992,0.43505,0.97737,0.00104231,0.00104231,0.00104231
43,91.6699,0.5289,0.44022,0.97586,0.94813,0.98413,0.98941,0.84179,0.60004,0.45758,0.96506,0.00103288,0.00103288,0.00103288
44,93.7528,0.54217,0.41573,0.9558,0.98623,0.96088,0.99052,0.83156,0.62864,0.48234,0.97281,0.00102345,0.00102345,0.00102345
45,95.7697,0.53406,0.43853,0.94606,0.9862,0.93646,0.98474,0.82118,0.60578,0.48404,0.96442,0.00101402,0.00101402,0.00101402
46,97.8816,0.49696,0.38453,0.9337,0.98398,0.97426,0.99333,0.81961,0.65029,0.44129,1.00386,0.00100459,0.00100459,0.00100459
47,99.9429,0.51953,0.39567,0.92017,0.98809,0.98413,0.99333,0.82386,0.6438,0.41819,1.00003,0.000995156,0.000995156,0.000995156
48,101.984,0.49789,0.39416,0.94728,0.9791,0.95293,0.99126,0.8532,0.62815,0.44329,0.99314,0.000985724,0.000985724,0.000985724
49,104.054,0.50627,0.39474,0.93386,0.99266,0.94742,0.98831,0.85835,0.62426,0.4559,0.99421,0.000976293,0.000976293,0.000976293
50,106.254,0.54681,0.41965,0.94802,0.95096,0.94225,0.98428,0.85679,0.59931,0.42428,0.96622,0.000966861,0.000966861,0.000966861
51,108.289,0.47874,0.36354,0.92296,0.97109,0.94229,0.9863,0.84908,0.60478,0.40649,0.96995,0.00095743,0.00095743,0.00095743
52,110.343,0.49605,0.3764,0.94811,0.95548,0.97664,0.99019,0.8554,0.61991,0.38559,0.99378,0.000947999,0.000947999,0.000947999
53,112.349,0.51945,0.38776,0.9508,0.96983,0.97854,0.99031,0.84598,0.60158,0.36592,0.99166,0.000938567,0.000938567,0.000938567
54,114.429,0.48942,0.37441,0.94126,0.9758,0.98167,0.99031,0.83568,0.62981,0.373,1.00946,0.000929136,0.000929136,0.000929136
55,116.495,0.54874,0.39741,0.96089,0.98889,0.97994,0.995,0.8226,0.6261,0.38073,1.01288,0.000919704,0.000919704,0.000919704
56,118.558,0.47677,0.36232,0.92189,0.98883,0.98297,0.995,0.85321,0.58452,0.37882,0.98508,0.000910273,0.000910273,0.000910273
57,120.606,0.48736,0.36615,0.91574,0.90402,0.94902,0.96613,0.81305,0.63284,0.49108,0.99861,0.000900842,0.000900842,0.000900842
58,122.785,0.49123,0.3584,0.95281,0.94837,0.95052,0.99136,0.83504,0.64641,0.40797,1.01889,0.00089141,0.00089141,0.00089141
59,124.894,0.51178,0.38503,0.9552,0.95765,1,0.99439,0.85614,0.57958,0.36492,0.96772,0.000881979,0.000881979,0.000881979
60,127.001,0.4789,0.3558,0.92634,0.97783,0.99523,0.99439,0.83736,0.60068,0.35532,0.97677,0.000872547,0.000872547,0.000872547
61,129.054,0.49649,0.38244,0.96361,0.98307,0.98229,0.99384,0.83763,0.61598,0.36367,0.98004,0.000863116,0.000863116,0.000863116
62,131.135,0.4757,0.35483,0.92586,0.95073,0.99548,0.99384,0.85324,0.59198,0.37208,0.96804,0.000853685,0.000853685,0.000853685
63,133.168,0.45261,0.33929,0.91417,0.96033,0.98083,0.99266,0.86856,0.55524,0.35943,0.9586,0.000844253,0.000844253,0.000844253
64,135.33,0.49526,0.35795,0.91892,0.97202,0.96942,0.9898,0.86169,0.57543,0.3813,0.96937,0.000834822,0.000834822,0.000834822
65,137.4,0.46296,0.34471,0.89867,0.97154,0.97094,0.9898,0.86605,0.5956,0.36796,0.97884,0.00082539,0.00082539,0.00082539
66,139.645,0.46313,0.33941,0.90429,0.94649,0.98413,0.99111,0.85719,0.59664,0.36737,0.98162,0.000815959,0.000815959,0.000815959
67,141.746,0.46096,0.34119,0.91552,0.95088,0.98413,0.99162,0.86215,0.59501,0.37938,0.97863,0.000806528,0.000806528,0.000806528
68,143.861,0.46788,0.35148,0.90345,0.973,0.96825,0.99136,0.86827,0.57671,0.37083,0.97684,0.000797096,0.000797096,0.000797096
69,145.954,0.4326,0.3232,0.90714,0.98843,0.96721,0.99182,0.8528,0.58373,0.37188,0.97512,0.000787665,0.000787665,0.000787665
70,148.08,0.45484,0.33735,0.91094,0.9668,0.96215,0.99305,0.86044,0.5846,0.36947,0.96462,0.000778233,0.000778233,0.000778233
71,150.148,0.48194,0.35425,0.90756,0.99764,0.9589,0.99364,0.86902,0.54169,0.37427,0.95042,0.000768802,0.000768802,0.000768802
72,152.306,0.44019,0.34081,0.91686,0.94828,0.97344,0.99246,0.84703,0.54715,0.36228,0.93416,0.000759371,0.000759371,0.000759371
73,154.35,0.43953,0.33318,0.92403,0.98312,0.94385,0.99187,0.84691,0.57585,0.35996,0.9459,0.000749939,0.000749939,0.000749939
74,156.458,0.42947,0.31254,0.92148,0.95114,0.98913,0.99239,0.85921,0.56598,0.35625,0.93496,0.000740508,0.000740508,0.000740508
75,158.63,0.41851,0.32608,0.91187,0.95008,0.99285,0.99239,0.86271,0.57877,0.35915,0.9469,0.000731076,0.000731076,0.000731076
76,160.702,0.44556,0.33808,0.90807,0.99803,0.96225,0.99384,0.8484,0.63313,0.38049,0.97622,0.000721645,0.000721645,0.000721645
77,162.774,0.4173,0.32378,0.89809,0.99293,0.96464,0.99439,0.85243,0.60261,0.35932,0.96784,0.000712214,0.000712214,0.000712214
78,164.829,0.40005,0.31824,0.91207,0.99202,0.96829,0.99384,0.85733,0.57039,0.33785,0.95515,0.000702782,0.000702782,0.000702782
79,166.893,0.40738,0.30481,0.9105,0.99186,0.95771,0.99382,0.84963,0.61903,0.33711,0.98441,0.000693351,0.000693351,0.000693351
80,168.971,0.40372,0.31973,0.91095,0.99482,0.96867,0.99384,0.87563,0.5921,0.34059,0.98224,0.000683919,0.000683919,0.000683919
81,171.1,0.42368,0.31767,0.89562,0.99469,0.96329,0.99322,0.86664,0.58205,0.34713,0.98001,0.000674488,0.000674488,0.000674488
82,173.283,0.43002,0.32334,0.91966,0.98342,0.991,0.995,0.86461,0.60985,0.34803,0.99154,0.000665057,0.000665057,0.000665057
83,175.33,0.42425,0.32169,0.89977,0.96606,0.99645,0.99382,0.84766,0.64945,0.34094,0.98756,0.000655625,0.000655625,0.000655625
84,177.49,0.45294,0.33791,0.93368,0.99016,0.99838,0.995,0.83719,0.6452,0.35137,0.99287,0.000646194,0.000646194,0.000646194
85,179.586,0.45791,0.32027,0.93205,0.98784,0.99245,0.995,0.84608,0.64155,0.35132,0.9992,0.000636762,0.000636762,0.000636762
86,181.678,0.4283,0.3113,0.88562,0.9922,0.95151,0.99382,0.84937,0.6115,0.34515,0.97558,0.000627331,0.000627331,0.000627331
87,183.805,0.42534,0.31384,0.90336,0.97349,0.99096,0.995,0.84915,0.61623,0.35745,0.97103,0.0006179,0.0006179,0.0006179
88,185.953,0.40954,0.33197,0.90468,0.97549,0.9817,0.99439,0.85036,0.6228,0.353,0.9783,0.000608468,0.000608468,0.000608468
89,188.075,0.40156,0.30213,0.89065,0.98386,1,0.995,0.84906,0.63112,0.34483,0.97866,0.000599037,0.000599037,0.000599037
90,190.214,0.43285,0.31846,0.89797,0.95115,0.99992,0.99322,0.85019,0.63264,0.33668,0.9724,0.000589605,0.000589605,0.000589605
91,192.399,0.42663,0.33377,0.92613,0.95105,0.99519,0.99322,0.86201,0.59478,0.3416,0.96531,0.000580174,0.000580174,0.000580174
92,194.487,0.39334,0.2952,0.89481,0.97726,0.96409,0.99266,0.86747,0.58171,0.3327,0.99275,0.000570743,0.000570743,0.000570743
93,196.606,0.43302,0.3066,0.89552,0.98624,0.95578,0.99266,0.85403,0.60704,0.3408,1.00642,0.000561311,0.000561311,0.000561311
94,198.696,0.4181,0.30511,0.90959,0.9881,0.96329,0.99266,0.85073,0.63564,0.34632,1.01088,0.00055188,0.00055188,0.00055188
95,200.776,0.38437,0.2885,0.89417,0.9801,0.98802,0.995,0.86523,0.59407,0.34006,0.9673,0.000542448,0.000542448,0.000542448
96,202.857,0.40074,0.3032,0.90255,0.98417,0.97631,0.99382,0.87453,0.60302,0.34273,0.96482,0.000533017,0.000533017,0.000533017
97,204.938,0.36701,0.27751,0.89041,0.98601,0.97719,0.99382,0.86288,0.61795,0.3387,0.96898,0.000523586,0.000523586,0.000523586
98,207.082,0.41096,0.29136,0.90095,0.99138,0.98732,0.995,0.86496,0.61862,0.32953,0.9576,0.000514154,0.000514154,0.000514154
99,209.153,0.36957,0.28214,0.89437,0.97514,0.98921,0.99364,0.87433,0.5784,0.31383,0.93512,0.000504723,0.000504723,0.000504723
100,211.209,0.38834,0.29489,0.88904,0.9616,0.98663,0.99197,0.86257,0.58995,0.32756,0.94189,0.000495291,0.000495291,0.000495291
101,213.321,0.40504,0.29873,0.90401,0.9622,0.9851,0.99197,0.8621,0.59791,0.33919,0.94928,0.00048586,0.00048586,0.00048586
102,215.388,0.39439,0.29907,0.897,0.99859,0.96071,0.991,0.86029,0.58983,0.34177,0.9661,0.000476429,0.000476429,0.000476429
103,217.549,0.38389,0.28288,0.89181,0.95844,0.9758,0.98721,0.86103,0.58091,0.3373,0.96135,0.000466997,0.000466997,0.000466997
104,219.731,0.36086,0.28785,0.88689,0.95695,0.97508,0.98881,0.86543,0.57835,0.33434,0.96318,0.000457566,0.000457566,0.000457566
105,221.919,0.34487,0.26932,0.88903,0.96698,0.96564,0.99278,0.86939,0.57316,0.33719,0.96276,0.000448134,0.000448134,0.000448134
106,224.052,0.34123,0.26356,0.90012,0.99378,0.96737,0.99278,0.87677,0.58214,0.33072,0.97227,0.000438703,0.000438703,0.000438703
107,226.412,0.35677,0.2771,0.88606,0.9937,0.96601,0.99382,0.87861,0.58401,0.31454,0.97167,0.000429272,0.000429272,0.000429272
108,228.572,0.35495,0.26451,0.876,0.99268,0.966,0.99278,0.87159,0.56628,0.30751,0.96551,0.00041984,0.00041984,0.00041984
109,230.606,0.3424,0.26204,0.87538,0.99258,0.96648,0.99278,0.87697,0.54923,0.30442,0.9596,0.000410409,0.000410409,0.000410409
110,232.797,0.3693,0.26696,0.88764,0.99328,0.96747,0.99278,0.87595,0.53288,0.30814,0.94915,0.000400977,0.000400977,0.000400977
111,234.951,0.39301,0.27788,0.90796,0.99412,0.96767,0.99278,0.87861,0.54996,0.30657,0.95508,0.000391546,0.000391546,0.000391546
112,237.176,0.37024,0.27287,0.89406,0.99263,0.96778,0.99278,0.86561,0.56764,0.30263,0.96275,0.000382115,0.000382115,0.000382115
113,239.282,0.36671,0.27725,0.87885,0.99047,0.96329,0.99217,0.85637,0.5534,0.30198,0.95854,0.000372683,0.000372683,0.000372683
114,241.452,0.33909,0.25566,0.87054,0.9919,0.96329,0.99217,0.8616,0.5386,0.29817,0.95195,0.000363252,0.000363252,0.000363252
115,243.57,0.3472,0.27097,0.8677,0.99243,0.96584,0.99382,0.87159,0.55932,0.30132,0.95883,0.00035382,0.00035382,0.00035382
116,245.82,0.34533,0.26424,0.88672,0.98982,0.97682,0.99382,0.8639,0.5849,0.30578,0.96725,0.000344389,0.000344389,0.000344389
117,247.936,0.3615,0.26882,0.89385,0.99124,0.97649,0.99382,0.86277,0.58069,0.31168,0.96554,0.000334958,0.000334958,0.000334958
118,250.061,0.34209,0.26703,0.88631,0.99012,0.98843,0.995,0.86364,0.57742,0.31589,0.96583,0.000325526,0.000325526,0.000325526
119,252.172,0.33836,0.25328,0.87198,0.99389,0.9933,0.995,0.8618,0.56861,0.29814,0.95836,0.000316095,0.000316095,0.000316095
120,254.323,0.33152,0.26329,0.87406,0.9948,0.99758,0.995,0.86859,0.57578,0.2999,0.95673,0.000306663,0.000306663,0.000306663
121,256.428,0.30702,0.2502,0.86841,0.99525,0.997,0.995,0.86861,0.58248,0.30208,0.95788,0.000297232,0.000297232,0.000297232
122,258.577,0.36534,0.27033,0.87535,0.99124,0.99606,0.995,0.86865,0.57038,0.29122,0.95367,0.000287801,0.000287801,0.000287801
123,260.713,0.34512,0.25523,0.87796,0.99221,0.99294,0.995,0.87912,0.56217,0.27714,0.95367,0.000278369,0.000278369,0.000278369
124,263.021,0.31569,0.25771,0.88164,0.99161,0.99125,0.995,0.87082,0.5692,0.2781,0.95335,0.000268938,0.000268938,0.000268938
125,265.155,0.34479,0.26151,0.8755,0.99164,0.98958,0.995,0.86442,0.57288,0.27712,0.95748,0.000259506,0.000259506,0.000259506
126,267.301,0.3319,0.24703,0.87613,0.99189,0.98709,0.995,0.86794,0.58818,0.27339,0.985,0.000250075,0.000250075,0.000250075
127,269.409,0.30785,0.23759,0.89241,0.99178,0.98608,0.995,0.87707,0.57525,0.27221,0.97314,0.000240644,0.000240644,0.000240644
128,271.515,0.36768,0.2617,0.91307,0.99059,0.98572,0.995,0.88153,0.56247,0.27705,0.96511,0.000231212,0.000231212,0.000231212
129,273.717,0.3325,0.25119,0.87677,0.99627,0.96621,0.99382,0.88847,0.56474,0.27863,0.96552,0.000221781,0.000221781,0.000221781
130,275.925,0.33254,0.25262,0.87695,0.9956,0.96551,0.99184,0.88121,0.57519,0.28489,0.96586,0.000212349,0.000212349,0.000212349
131,278.163,0.33525,0.25591,0.89576,0.99576,0.96504,0.99382,0.88146,0.58225,0.28682,0.96785,0.000202918,0.000202918,0.000202918
132,280.498,0.29021,0.23366,0.84464,0.99579,0.96506,0.99382,0.89128,0.57213,0.28662,0.96293,0.000193487,0.000193487,0.000193487
133,282.784,0.30853,0.24057,0.87077,0.9959,0.96511,0.99382,0.89526,0.57068,0.28232,0.96755,0.000184055,0.000184055,0.000184055
134,284.983,0.28691,0.22886,0.87324,0.98752,0.98767,0.995,0.88624,0.56989,0.27837,0.97246,0.000174624,0.000174624,0.000174624
135,287.152,0.31679,0.24095,0.87696,0.98832,0.98726,0.995,0.87842,0.56462,0.28487,0.98594,0.000165192,0.000165192,0.000165192
136,289.293,0.30831,0.23899,0.85831,0.98897,0.98686,0.995,0.8833,0.5602,0.27666,0.98691,0.000155761,0.000155761,0.000155761
137,291.559,0.32829,0.25956,0.88986,0.99679,0.96641,0.99382,0.88357,0.56414,0.27702,0.98886,0.00014633,0.00014633,0.00014633
138,293.685,0.32298,0.23761,0.85926,0.99683,0.96605,0.99382,0.87803,0.56762,0.27196,0.9925,0.000136898,0.000136898,0.000136898
139,295.835,0.30379,0.23857,0.85094,0.98736,0.97639,0.99382,0.87892,0.57282,0.26911,0.99704,0.000127467,0.000127467,0.000127467
140,297.926,0.30934,0.2374,0.85791,0.99148,0.98483,0.995,0.87764,0.57796,0.26956,0.99919,0.000118035,0.000118035,0.000118035
141,314.037,0.24784,0.19471,0.79091,0.99214,0.98433,0.995,0.88861,0.57784,0.27299,1.0002,0.000108604,0.000108604,0.000108604
142,316.365,0.24588,0.19258,0.78757,0.99244,0.98401,0.995,0.88809,0.56595,0.27309,0.99848,9.91726e-05,9.91726e-05,9.91726e-05
143,318.61,0.23523,0.18035,0.82886,0.99001,0.97781,0.99278,0.88523,0.55819,0.27005,0.99679,8.97412e-05,8.97412e-05,8.97412e-05
144,320.697,0.25324,0.20075,0.80763,0.99018,0.97778,0.99184,0.88179,0.56029,0.27049,0.99932,8.03098e-05,8.03098e-05,8.03098e-05
145,322.709,0.23192,0.1942,0.79386,0.98999,0.9775,0.99184,0.88173,0.56319,0.2699,1.00038,7.08784e-05,7.08784e-05,7.08784e-05
146,324.733,0.23428,0.18404,0.79965,0.98919,0.97701,0.99184,0.87663,0.56981,0.27474,1.00247,6.1447e-05,6.1447e-05,6.1447e-05
147,326.796,0.21917,0.17953,0.80465,0.98865,0.97682,0.991,0.87472,0.5752,0.27481,1.00271,5.20156e-05,5.20156e-05,5.20156e-05
148,328.944,0.22415,0.17271,0.80187,0.98818,0.97675,0.991,0.87482,0.57606,0.27449,1.00396,4.25842e-05,4.25842e-05,4.25842e-05
149,330.931,0.22893,0.17733,0.7852,0.98781,0.97664,0.991,0.8784,0.57696,0.27367,1.004,3.31528e-05,3.31528e-05,3.31528e-05
150,333.012,0.21967,0.17431,0.79747,0.98728,0.9766,0.991,0.87535,0.57707,0.27442,1.00474,2.37214e-05,2.37214e-05,2.37214e-05
