epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.69898,1.10355,4.03101,1.39817,0.77457,0.31667,0.3349,0.21552,0.89802,2.96682,1.26276,8.574e-05,8.574e-05,8.574e-05
2,7.92598,0.94729,2.19354,1.36462,0.58773,0.7256,0.67782,0.55006,0.7229,2.18342,1.18102,0.00018485,0.00018485,0.00018485
3,10.1542,0.80756,1.24018,1.15912,0.7907,0.77579,0.84697,0.67237,0.76709,1.34993,1.14037,0.000282971,0.000282971,0.000282971
4,12.2419,0.76164,0.94225,1.09894,0.82393,0.95181,0.95579,0.76953,0.67214,1.08647,1.05744,0.0003801,0.0003801,0.0003801
5,14.6789,0.6649,0.90579,1.06179,0.8724,0.88446,0.91502,0.73224,0.77793,1.21866,1.16767,0.00047624,0.00047624,0.00047624
6,16.7454,0.74173,0.81488,1.06342,0.89274,0.92152,0.94839,0.76097,0.68834,1.20835,1.03834,0.000571389,0.000571389,0.000571389
7,18.8536,0.66509,0.81748,1.01922,0.91586,0.84663,0.92388,0.73637,0.72215,1.42369,1.06569,0.000665548,0.000665548,0.000665548
8,21.0037,0.74805,0.89604,1.05939,0.80883,0.90327,0.93028,0.69248,0.8309,0.97446,1.11949,0.000758717,0.000758717,0.000758717
9,23.1123,0.63923,0.77244,1.04196,0.961,0.88404,0.98205,0.80216,0.74572,1.16303,1.08156,0.000850895,0.000850895,0.000850895
10,25.243,0.66789,0.71977,1.03004,0.92745,0.83784,0.92155,0.7231,0.77897,1.31619,1.12222,0.000942083,0.000942083,0.000942083
11,27.2235,0.6606,0.6412,0.99805,0.85652,0.67222,0.77944,0.56601,1.02192,2.21926,1.32103,0.00103228,0.00103228,0.00103228
12,29.253,0.65286,0.6227,1.01995,0.81939,0.80575,0.86664,0.699,0.74055,1.55085,1.13111,0.00112149,0.00112149,0.00112149
13,31.2392,0.65632,0.63579,1.02144,0.79818,0.7472,0.8246,0.6655,0.7494,1.22151,1.12609,0.00120971,0.00120971,0.00120971
14,33.3049,0.6671,0.59636,1.03234,0.79445,0.92528,0.90698,0.69571,0.78448,0.87395,1.08552,0.00129693,0.00129693,0.00129693
15,35.3406,0.70653,0.67514,1.02354,0.81246,0.82659,0.87712,0.71345,0.77975,0.98758,1.15073,0.00132997,0.00132997,0.00132997
16,37.6443,0.67958,0.6801,1.05341,0.74633,0.75317,0.78833,0.63572,0.79974,1.13406,1.17806,0.0013229,0.0013229,0.0013229
17,39.7265,0.72084,0.64052,1.10615,0.87819,0.68713,0.85075,0.66926,0.87505,1.1198,1.22819,0.00131582,0.00131582,0.00131582
18,41.8415,0.67357,0.59761,1.0194,0.77023,0.59651,0.72878,0.56842,0.82467,1.67229,1.16799,0.00130875,0.00130875,0.00130875
19,43.8806,0.69331,0.6259,1.05525,0.75278,0.66389,0.77986,0.5756,0.8768,1.13257,1.16872,0.00130168,0.00130168,0.00130168
20,45.9816,0.69099,0.6538,1.02268,0.7992,0.92903,0.93029,0.74254,0.74493,0.7163,1.1256,0.0012946,0.0012946,0.0012946
21,48.0753,0.68897,0.59021,1.0506,0.83643,0.85925,0.90595,0.73523,0.78178,0.80272,1.14803,0.00128753,0.00128753,0.00128753
22,50.1276,0.62708,0.54524,0.97801,0.6426,0.78553,0.76274,0.58722,0.80874,1.52472,1.17143,0.00128046,0.00128046,0.00128046
23,52.2035,0.59961,0.53356,1.00296,0.98627,0.85215,0.95325,0.76119,0.69549,0.79249,1.04109,0.00127338,0.00127338,0.00127338
24,54.2779,0.63554,0.5058,1.012,0.88904,0.77068,0.91033,0.76546,0.6608,0.97616,1.03004,0.00126631,0.00126631,0.00126631
25,56.4274,0.63397,0.53749,1.05557,0.87924,0.83245,0.92549,0.75933,0.702,0.9589,1.05494,0.00125923,0.00125923,0.00125923
26,58.5348,0.71515,0.56377,1.05514,0.97842,0.91567,0.9689,0.77375,0.79216,0.69375,1.11641,0.00125216,0.00125216,0.00125216
27,60.6697,0.6547,0.49754,0.98,0.92551,0.92328,0.97464,0.79615,0.7185,0.66606,1.07678,0.00124509,0.00124509,0.00124509
28,62.7373,0.59085,0.47237,0.97601,0.93345,0.97294,0.99197,0.78722,0.7122,0.57461,1.08575,0.00123801,0.00123801,0.00123801
29,64.8309,0.63294,0.50264,1.01354,0.90898,0.95079,0.98189,0.76582,0.75136,0.55692,1.09769,0.00123094,0.00123094,0.00123094
30,66.892,0.58174,0.48928,0.95649,0.88531,0.89292,0.95572,0.78233,0.70155,0.59896,1.03088,0.00122387,0.00122387,0.00122387
31,68.931,0.60872,0.50449,0.98789,0.89321,0.92182,0.97404,0.79327,0.68911,0.60647,1.04758,0.00121679,0.00121679,0.00121679
32,71.0985,0.5577,0.46603,0.93934,0.66247,0.88448,0.92137,0.77213,0.66102,0.84132,1.00785,0.00120972,0.00120972,0.00120972
33,73.175,0.5556,0.52217,0.96812,0.88074,0.85667,0.93662,0.77886,0.70236,0.67274,1.0528,0.00120265,0.00120265,0.00120265
34,75.3078,0.57497,0.48736,0.96594,0.93137,0.92565,0.97072,0.80609,0.67877,0.61943,1.03219,0.00119557,0.00119557,0.00119557
