epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,185.95,0.55512,0.44456,0.99712,0.9557,0.99841,0.98591,0.81407,0.62986,0.43479,1.06354,0.00104231,0.00104231,0.00104231
43,190.362,0.56665,0.47486,1.02927,0.95553,0.96047,0.99059,0.83496,0.6316,0.45932,1.07372,0.00103288,0.00103288,0.00103288
44,194.71,0.57065,0.46077,1.01582,0.97107,0.94361,0.99056,0.84003,0.60334,0.47787,1.05366,0.00102345,0.00102345,0.00102345
45,199.064,0.55741,0.49706,1.01107,0.95297,0.96972,0.99153,0.8332,0.61359,0.45147,1.05714,0.00101402,0.00101402,0.00101402
46,203.287,0.53941,0.42416,0.97772,0.98123,0.94411,0.98949,0.82525,0.64968,0.42494,1.07707,0.00100459,0.00100459,0.00100459
47,207.511,0.54436,0.41986,0.96772,0.98208,0.94526,0.99265,0.84721,0.61136,0.42056,1.07037,0.000995156,0.000995156,0.000995156
48,211.901,0.51528,0.42126,1.00994,0.98189,0.96715,0.97747,0.82787,0.62505,0.41351,1.09332,0.000985724,0.000985724,0.000985724
49,216.153,0.54772,0.42282,0.99513,0.99232,0.95399,0.97767,0.82683,0.59597,0.42369,1.0526,0.000976293,0.000976293,0.000976293
50,220.384,0.57247,0.45544,1.01601,0.96302,0.94711,0.98558,0.81616,0.61377,0.41981,1.06225,0.000966861,0.000966861,0.000966861
51,224.635,0.51179,0.37533,0.96307,0.96889,0.97488,0.99059,0.83308,0.69961,0.4084,1.11894,0.00095743,0.00095743,0.00095743
52,228.895,0.52021,0.39652,0.98112,0.94457,0.97917,0.99153,0.83694,0.66217,0.40345,1.08189,0.000947999,0.000947999,0.000947999
53,233.162,0.57685,0.40951,1.01951,0.94249,0.97917,0.99153,0.81096,0.68059,0.41666,1.10328,0.000938567,0.000938567,0.000938567
54,237.42,0.51372,0.39374,0.98027,0.98406,0.99037,0.995,0.83691,0.6466,0.39959,1.05925,0.000929136,0.000929136,0.000929136
55,241.846,0.59074,0.44306,1.0148,0.97773,0.98124,0.99439,0.8613,0.56946,0.35747,1.01799,0.000919704,0.000919704,0.000919704
56,246.553,0.51856,0.39094,0.96499,0.97899,0.96525,0.99384,0.86541,0.57399,0.37084,1.02377,0.000910273,0.000910273,0.000910273
57,251.118,0.52528,0.40156,0.97357,0.98558,0.94831,0.99384,0.87802,0.58923,0.38234,1.02571,0.000900842,0.000900842,0.000900842
58,255.728,0.51517,0.38642,0.98978,0.98599,0.96329,0.99322,0.85876,0.59401,0.37377,1.01105,0.00089141,0.00089141,0.00089141
59,260.076,0.51967,0.38501,0.98608,0.97158,0.97659,0.99382,0.84935,0.60802,0.38973,1.02928,0.000881979,0.000881979,0.000881979
60,264.379,0.49902,0.38139,0.96579,0.98241,0.97143,0.991,0.83713,0.59614,0.37058,1.01698,0.000872547,0.000872547,0.000872547
61,268.98,0.5268,0.39965,1.0098,0.98814,0.96695,0.99184,0.86546,0.57789,0.3475,1.01122,0.000863116,0.000863116,0.000863116
62,273.268,0.48832,0.36132,0.95236,0.99286,0.97917,0.99278,0.87284,0.57973,0.33391,1.02394,0.000853685,0.000853685,0.000853685
63,277.516,0.47916,0.35418,0.96788,0.96812,0.97917,0.99153,0.88478,0.54005,0.35071,0.99684,0.000844253,0.000844253,0.000844253
64,282.026,0.52974,0.37371,0.95203,0.96089,0.99523,0.97912,0.82592,0.63938,0.40209,1.06165,0.000834822,0.000834822,0.000834822
